'func','type','sim','file count','throughput (byte/sec)','elapsed_time','bytes'
get_dHdl_XVG,total,rep2repghost_state_76_x2,309,14845118.44429829,146.8161072731018,2179502502
get_dHdl_XVG,total,rep2repghost_state_38_x1,305,15361755.32942778,146.46772694587708,2250001385
get_dHdl_XVG,total,rep2repghost_state_74_x2,291,14943689.605846263,146.09199237823486,2183153388
get_dHdl_XVG,total,rep2repghost_state_0_x2,298,14296312.076261971,146.03637671470642,2087781616
get_dHdl_XVG,total,rep2repghost_state_6_x1,305,14671439.274955759,148.71772646903992,2181903093
get_dHdl_XVG,total,rep2repghost_state_72_x1,327,14729701.921462743,151.33225321769714,2229078981
get_dHdl_XVG,total,rep2repghost_state_62_x2,281,15074815.14408483,147.86846947669983,2229089843
get_dHdl_XVG,total,rep2repghost_state_12_x2,330,14409263.781198945,151.89167380332947,2188647194
get_dHdl_XVG,total,rep2repghost_state_64_x1,298,14376550.624243764,153.69757390022278,2209640952
get_dHdl_XVG,total,rep2repghost_state_14_x1,296,14707287.342615655,147.5227916240692,2169660086
